customer_id,service_time,window_start,window_end,recipes
0,0,0,1440,DEPOT
1,2.46,720,840,BBQ Pineapple & Chicken Flatbreads
2,6.74,360,480,Lemon Herb Organic Chicken & Couscous
3,8.36,1200,1320,Sweet & Smoky Ranch Steak
4,9.7,840,960,Za'atar Feta & Chicken Pita Pockets
5,4.22,480,600,Chicken Sausage Agnolotti in Brown Butter
6,6.96,720,840,Sweet Potato & Pepper Quesadillas
7,9.17,1080,1200,Low-Lift Al Pastor Beef & Brown Rice Bowls
8,6.58,240,360,Air Fryer Cajun Chicken & Bacon Sandos
9,7.67,720,840,Mexican-Spiced Salmon & Street Corn Rice Bowls
10,9.97,1200,1320,Mexican-Spiced Salmon & Street Corn Rice Bowls
