customer_id,service_time,window_start,window_end,recipes
0,0.0,480,1260,DEPOT
1,2.12,720,840,Chicken with Cherry Pan Sauce
2,4.08,360,480,Shawarma-Spiced Beef & Rice Bowls
3,4.74,1200,1320,Crispy Parmesan Chicken & Bacon Linguine
4,3.45,840,960,Cheesy Southwest Chicken & Kale Rice
5,9.2,480,600,Southwest Shrimp Tacos
6,7.44,720,840,Mexican-Spiced Salmon & Street Corn Rice Bowls
7,7.44,1080,1200,Prep & Bake Dijon Pecan Organic Chicken
8,5.73,240,360,Coconut-Crusted Tilapia Sandwiches
9,9.31,720,840,Mexican-Spiced Chicken & Street Corn Rice Bowls
10,2.96,1200,1320,Crispy Parmesan Chicken & Bacon Linguine
11,5.6,1200,1320,One-Pan Cantina Shrimp Fajitas
12,3.8,840,960,BBQ Pineapple & Bacon Flatbreads
13,8.05,480,600,Hainanese-Style Roasted Chicken & Rice
14,8.03,360,480,Firehouse Cheeseburgers
15,7.1,840,960,BBQ Pineapple & Chicken Flatbreads
16,5.59,840,960,Szechuan-Glazed Rib-Eye & Jasmine Rice
17,3.49,240,360,Butternut Agnolotti in Brown Butter & Parmesan
18,5.5,600,720,"Warm Lentil, Carrot & Feta Salad"
19,8.07,480,600,Shawarma Turkey & Turmeric Rice Bowls
20,8.18,120,240,Silky Sicilian Penne with Shrimp
21,9.13,840,960,Zucchini Pomodoro Fusilli Bake
22,3.5,1320,1260,Smashed Black Bean & Chicken Tostadas
23,9.78,600,720,Mexican-Spiced Steak & Street Corn Rice Bowls
24,5.59,120,240,"Sweet Soy Chicken, Mushroom & Snow Pea Stir-Fry"
25,2.68,1320,1260,Smoky Chipotle Beef Burrito Bowls
26,8.01,480,600,Cheesy Buffalo Chicken & Mashed Potato Bake
27,9.34,480,120,Spicy Peruvian Steak
28,5.54,1320,1260,Silky Sicilian Penne & Sirloin Steak
29,5.06,1080,1200,Air Fryer Cajun Organic Chicken Sandos
30,7.3,600,720,Szechuan Pork Noodle Stir-Fry
31,6.76,1320,1260,Lemon Herb Organic Chicken & Couscous
32,6.03,960,1080,Zucchini & Beef Pomodoro Penne Bake
33,9.8,480,120,Crispy Tofu Sesame Lo Mein
34,3.38,1200,1320,Prep & Bake Cheesy Tomato Ravioli
35,3.33,1200,1320,Figgy Balsamic Bavette Steak
36,3.54,1080,1200,Butternut Agnolotti in Brown Butter & Parmesan
37,9.99,1320,1260,Silky Sicilian Gluten-Free Fresh Fusilli
38,9.17,1320,1260,Butternut Agnolotti in Brown Butter & Parmesan
39,6.98,240,360,One-Pan French Onion & Trout Orzotto
40,2.58,1320,1260,BBQ Pineapple & Chicken Flatbreads
41,3.4,720,840,Fig & Bacon Chicken Lettuce Wraps
42,7.05,360,480,Paprika Chicken with Sweet Potato Jumble
43,5.99,960,1080,Prep & Bake Dijon Pecan Organic Chicken
44,2.23,240,360,Steak with Mushroom Cream Sauce
45,2.03,480,600,Cheesy Buffalo Chicken Flatbreads
46,5.83,240,360,Super-Quick Chicken Spring Rolls & Mediterranean Salad
47,7.98,720,840,Coconut-Crusted Tilapia Sandwiches
48,5.51,480,600,Seared Salmon & Tomato-Dill Relish
49,3.21,960,1080,Shawarma Dark Meat Chicken & Turmeric Rice Bowls
50,9.87,720,840,Melty Double Red Pepper & Bacon Panini
51,4.37,120,240,Steak & Edamame Stir-Fry
52,6.16,360,480,Shawarma-Spiced Chicken & Rice Bowls
53,9.86,960,1080,BBQ Pineapple & Bacon Flatbreads
54,3.02,1320,1260,Rainbow Trout Agnolotti
55,8.99,120,240,Shrimp & Greek Salad Pita Pockets
56,8.57,1080,1200,"Turkey, Sweet Potato & Pepper Quesadillas"
57,9.19,960,1080,Rainbow Trout Agnolotti
58,4.2,1080,1200,Shawarma Beef & Turmeric Rice Bowls
59,8.86,480,600,Super-Quick Chicken Spring Rolls & Mediterranean Salad
60,8.78,120,240,Figgy Balsamic Pork
61,4.13,360,480,Cheesy Bacon Jam-Stuffed Chicken
