customer_id,service_time,window_start,window_end,recipes
0,0.0,480,1260,DEPOT
1,7.35,480,1260,Crispy Tofu Sesame Lo Mein
2,4.25,960,1200,Spicy Peruvian Steak|Low-Lift Al Pastor Beef & Brown Rice Bowls|Thyme-Crusted Salmon & Crème Fraîche Pan Sauce|Pesto Chicken Salad Lettuce Wraps|Smashed Black Bean & Beef Tostadas
3,4.25,480,720,Szechuan-Glazed Rib-Eye & Jasmine Rice|Curried Chicken & Roasted Sweet Potato Jumble|Figgy Balsamic Pork
4,7.53,720,960,Silky Sicilian Penne with Shrimp|Silky Sicilian Penne|Figgy Balsamic Pork|Chicken Milanese & Creamy Pesto Fusilli
5,5.18,960,1200,Smashed Black Bean & Beef Tostadas
6,2.98,480,1260,Barramundi with Lemon-Dill Sauce|Onion Crunch Chicken
7,5.95,480,1260,Cheesy Bacon Jam-Stuffed Chicken|Korean BBQ Mushroom & Bacon Sandwiches|Lemon Herb Chicken & Artichoke-Celery Salad
8,9.07,960,1200,Figgy Balsamic Chicken|Pub-Style Shepherd's Pie|Thyme-Crusted Tilapia & Crème Fraîche Pan Sauce
9,8.17,720,960,Harvest Kale Salad with Shrimp|Mexican-Spiced Steak & Street Corn Rice Bowls|Sheet Pan Crunchy Organic Chicken
10,5.63,720,960,Mushroom & Spinach Ramen with Chicken
11,4.49,960,1200,"Szechuan-Glazed Rib-Eye & Jasmine Rice|Warm Lentil, Carrot & Feta Salad|Zucchini Pomodoro Penne Bake"
12,8.81,720,960,Creamy Chicken Pot Pie|Smashed Black Bean & Chicken Tostadas
13,6.12,960,1200,Steak Agnolotti in Brown Butter Sauce
14,9.6,480,1260,Soy-Ginger Beef Meatball Rice Bowls|Lemon Herb Salmon & Couscous|Pesto Chicken Salad Lettuce Wraps
15,3.47,480,720,Greek Goddess Steak & Bulgur Bowls|Rainbow Trout Agnolotti|Blackened Half Chicken with Mango-Lime BBQ Sauce
16,7.12,720,960,"Figgy Balsamic Bavette Steak|Bacon, Sweet Potato & Pepper Quesadillas"
17,2.81,960,1200,One-Pot Loaded Three-Bean Chicken Chili|Sweet & Tangy Tempura Chicken Sandos
18,5.19,480,1260,One-Pan Cheesy Beef Tortilla Melts|Mexican-Spiced Shrimp & Street Corn Rice Bowls
19,7.33,960,1200,Smashed Black Bean & Chicken Tostadas|Prosciutto-Wrapped Herb-Stuffed Chicken
20,5.85,480,720,Argentinian Chicken|Crispy Kickin' Cayenne Chicken Cutlets
21,8.26,480,720,Creamy Dill Sirloin Steak|Crispy Organic Chicken & Bacon Alfredo|Shawarma Turkey & Turmeric Rice Bowls|Peachy Gochujang Pork Wraps
22,8.55,480,1260,Fried Chicken BLT Sandwiches|Silky Sicilian Penne with Bacon|Paprika Chicken with Sweet Potato Jumble
23,8.18,960,1200,Creamy Chicken Pot Pie|Salmon with Lemon-Dill Sauce
24,6.61,480,1260,Shrimp & Greek Salad Pita Pockets|Low-Lift Romesco Chicken & Garlic Herb Orzo|Crispy Korean-Style BBQ Mushroom Sandwiches|Harvest Kale Salad with Bacon
25,6.51,720,960,Cheesy Prosciutto Organic Chicken Rollatini|Southwest Steak Fajita Tacos|Mushroom & Spinach Ramen with Beef
26,8.78,960,1200,Smoky Chipotle Beef Burrito Bowls|Mexican-Spiced Steak & Street Corn Rice Bowls
27,9.52,480,1260,Shrimp Spaghetti with a Kick|Air Fryer Cajun Chicken & Bacon Sandos
28,4.7,480,1260,Seared Salmon & Kale Salad with Mango|Steak Agnolotti in Brown Butter Sauce|Harvest Kale Salad with Shrimp
29,5.22,480,1260,Sweet & Spicy Beef Fried Rice|Cheesy Buffalo Chicken Flatbreads|Zucchini & Beef Pomodoro Penne Bake
30,4.97,480,1260,Super-Quick Chicken Spring Rolls & Mediterranean Salad|Crispy Parmesan Chicken & Bacon Linguine
31,5.36,480,720,Dijon Dill Chicken
32,4.51,960,1200,One-Pan French Onion & Trout Orzotto
33,3.88,720,960,Seared Salmon & Kale Salad with Mango|Harvest Kale & Roasted Brussels Salad
34,5.3,720,960,Argentinian Bavette Steak
35,8.34,720,960,Crispy Kickin' Cayenne Chicken Cutlets|Soy-Ginger Beef Meatball Rice Bowls
36,8.78,480,720,Chicken & Greek Salad Pita Pockets|Silky Sicilian Gluten-Free Fresh Fusilli|Air Fryer Swicy Cajun Chicken Sandwiches
37,5.9,480,720,One-Pan Cantina Shrimp Fajitas|Sweet Thai Chili Barramundi
38,8.97,480,720,Smoky Chipotle Beef Burrito Bowls|BBQ Flatbreads & Chicken Sausage
39,7.34,480,720,Gouda-Stuffed Pork Meatloaves|Greek Goddess Shrimp & Bulgur Bowls|Savory Mushroom & Spinach Ramen|Sweet & Smoky Ranch Steak
40,8.25,960,1200,One-Pan Cantina Shrimp Fajitas|Pub-Style Turkey Shepherd's Pie|Seared Salmon & Kale Salad with Mango
41,7.75,480,720,Shrimp Spaghetti with a Kick
