customer_id,service_time,window_start,window_end,recipes
0,0.0,480,1260,DEPOT
1,8.17,960,1200,Smoky Mustard Steak & Roasted Potatoes
2,7.05,480,1260,Sweet & Smoky Chicken|Korean BBQ Mushroom & Bacon Sandwiches|Crispy Korean-Style BBQ Mushroom Sandwiches
3,4.25,480,1260,Szechuan-Glazed Rib-Eye & Jasmine Rice|Curried Chicken & Roasted Sweet Potato Jumble|Figgy Balsamic Pork
4,7.53,720,960,Silky Sicilian Penne with Shrimp|Silky Sicilian Penne
5,5.18,960,1200,Smashed Black Bean & Beef Tostadas
6,2.98,480,1260,Barramundi with Lemon-Dill Sauce
7,5.95,720,960,Cheesy Bacon Jam-Stuffed Chicken|Korean BBQ Mushroom & Bacon Sandwiches
8,9.07,720,960,Figgy Balsamic Chicken|Pub-Style Shepherd's Pie
9,8.17,480,720,Harvest Kale Salad with Shrimp|Mexican-Spiced Steak & Street Corn Rice Bowls|Sheet Pan Crunchy Organic Chicken
10,5.63,480,1260,Mushroom & Spinach Ramen with Chicken
11,4.49,960,1200,"Szechuan-Glazed Rib-Eye & Jasmine Rice|Warm Lentil, Carrot & Feta Salad|Zucchini Pomodoro Penne Bake"
12,8.81,960,1200,Creamy Chicken Pot Pie|Smashed Black Bean & Chicken Tostadas
13,6.12,480,1260,Steak Agnolotti in Brown Butter Sauce
14,9.6,480,720,Soy-Ginger Beef Meatball Rice Bowls|Lemon Herb Salmon & Couscous
15,3.47,480,720,Greek Goddess Steak & Bulgur Bowls|Rainbow Trout Agnolotti|Blackened Half Chicken with Mango-Lime BBQ Sauce
16,7.12,480,720,"Figgy Balsamic Bavette Steak|Bacon, Sweet Potato & Pepper Quesadillas"
17,2.81,480,1260,One-Pot Loaded Three-Bean Chicken Chili
18,5.19,720,960,One-Pan Cheesy Beef Tortilla Melts|Mexican-Spiced Shrimp & Street Corn Rice Bowls
19,7.33,720,960,Smashed Black Bean & Chicken Tostadas|Prosciutto-Wrapped Herb-Stuffed Chicken
20,5.85,960,1200,Argentinian Chicken
21,8.26,480,720,Creamy Dill Sirloin Steak|Crispy Organic Chicken & Bacon Alfredo|Shawarma Turkey & Turmeric Rice Bowls|Peachy Gochujang Pork Wraps
22,8.55,960,1200,Fried Chicken BLT Sandwiches|Silky Sicilian Penne with Bacon|Paprika Chicken with Sweet Potato Jumble
23,8.18,480,720,Creamy Chicken Pot Pie|Salmon with Lemon-Dill Sauce
24,6.61,720,960,Shrimp & Greek Salad Pita Pockets|Low-Lift Romesco Chicken & Garlic Herb Orzo|Crispy Korean-Style BBQ Mushroom Sandwiches|Harvest Kale Salad with Bacon
25,6.51,480,720,Cheesy Prosciutto Organic Chicken Rollatini|Southwest Steak Fajita Tacos|Mushroom & Spinach Ramen with Beef
26,8.78,720,960,Smoky Chipotle Beef Burrito Bowls|Mexican-Spiced Steak & Street Corn Rice Bowls
27,9.52,960,1200,Shrimp Spaghetti with a Kick|Air Fryer Cajun Chicken & Bacon Sandos
28,4.7,480,720,Seared Salmon & Kale Salad with Mango|Steak Agnolotti in Brown Butter Sauce
29,5.22,480,720,Sweet & Spicy Beef Fried Rice|Cheesy Buffalo Chicken Flatbreads
30,4.97,960,1200,Super-Quick Chicken Spring Rolls & Mediterranean Salad|Crispy Parmesan Chicken & Bacon Linguine
31,5.36,960,1200,Dijon Dill Chicken
32,4.51,720,960,One-Pan French Onion & Trout Orzotto
33,3.88,480,1260,Seared Salmon & Kale Salad with Mango|Harvest Kale & Roasted Brussels Salad
34,5.3,720,960,Argentinian Bavette Steak
35,8.34,480,720,Crispy Kickin' Cayenne Chicken Cutlets
36,8.78,720,960,Chicken & Greek Salad Pita Pockets|Silky Sicilian Gluten-Free Fresh Fusilli
37,5.9,960,1200,One-Pan Cantina Shrimp Fajitas|Sweet Thai Chili Barramundi
38,8.97,480,1260,Smoky Chipotle Beef Burrito Bowls|BBQ Flatbreads & Chicken Sausage
39,7.34,480,1260,Gouda-Stuffed Pork Meatloaves|Greek Goddess Shrimp & Bulgur Bowls|Savory Mushroom & Spinach Ramen|Sweet & Smoky Ranch Steak
40,8.25,480,1260,One-Pan Cantina Shrimp Fajitas|Pub-Style Turkey Shepherd's Pie
41,7.75,960,1200,Shrimp Spaghetti with a Kick
42,5.61,720,960,Smoky Chipotle Beef Burrito Bowls|Sweet Thai Chili Salmon
43,7.14,480,720,Cheesy Buffalo Chicken & Mashed Potato Bake|Zucchini & Beef Pomodoro Penne Bake
44,9.2,480,720,Air Fryer Cajun Chicken & Bacon Sandos|Pesto Shrimp Salad Lettuce Wraps|Firecracker Meatballs|Crispy Organic Chicken & Bacon Alfredo
45,5.93,720,960,Soy-Ginger Beef Meatball Rice Bowls
46,4.77,480,1260,Seared Salmon & Kale Salad with Mango
47,3.28,960,1200,One-Pan French Onion & Steak Orzotto|Crispy Organic Chicken & Bacon Alfredo
48,8.68,480,1260,One-Pot Loaded Three-Bean Chicken Chili
49,5.63,960,1200,"Turkey, Sweet Potato & Pepper Quesadillas|Seared Salmon & Lemon-Dijon Sauce"
50,3.82,720,960,Steak Salad & Tangy Red Pepper Vinaigrette|Chicken with Cherry Pan Sauce
